NODE LEDGER - every node in every package, enumerated and typed.
Proof of complete traversal: 259 nodes across 9 packages.

PACKAGE                                    DEPTH  NODE                                                     TYPE
04_scope_registers_reports_csv.json            1    Select_Html_Rows_Errors                                Select
04_scope_registers_reports_csv.json            1    Select_Html_Rows_Warnings                              Select
04_scope_registers_reports_csv.json            1    Compose_Architecture_Review_Report_Html                Compose
04_scope_registers_reports_csv.json            1    Select_Human_Review_Csv_Lines                          Select
04_scope_registers_reports_csv.json            1    Compose_Human_Review_Csv                               Compose
04_scope_registers_reports_csv.json            1    Set_varHumanReviewCsv                                  SetVariable
05_scope_archive_package.json                  0  Scope_SAVE_05_Archive_Package                            Scope
05_scope_archive_package.json                  1    GET_Current_User                                       OpenApiConnection
05_scope_archive_package.json                  1    Compose_Current_User_Safe                              Compose
05_scope_archive_package.json                  1    GET_Archive_Library                                    OpenApiConnection
05_scope_archive_package.json                  1    Condition_Provision_Archive_Library                    If
05_scope_archive_package.json                  2      CREATE_Archive_Library                               OpenApiConnection
05_scope_archive_package.json                  2      Set_varArchiveLibraryProvisioned                     SetVariable
05_scope_archive_package.json                  2      BREAK_Archive_Library_Inheritance                    OpenApiConnection
05_scope_archive_package.json                  2      Condition_Remove_Members_Group                       If
05_scope_archive_package.json                  3        REMOVE_Members_Group_From_Archive                  OpenApiConnection
05_scope_archive_package.json                  2      Condition_Remove_Visitors_Group                      If
05_scope_archive_package.json                  3        REMOVE_Visitors_Group_From_Archive                 OpenApiConnection
05_scope_archive_package.json                  2      Condition_Grant_Owner_Group_Full_Control             If
05_scope_archive_package.json                  3        GRANT_Owner_Group_Full_Control                     OpenApiConnection
05_scope_archive_package.json                  2      Condition_Grant_Run_Identity_Full_Control            If
05_scope_archive_package.json                  3        GRANT_Run_Identity_Full_Control                    OpenApiConnection
05_scope_archive_package.json                  2      GET_Archive_Library_After_Create                     OpenApiConnection
05_scope_archive_package.json                  1    Set_varArchiveLibraryServerRelativeUrl                 SetVariable
05_scope_archive_package.json                  1    Condition_Archive_Library_Unavailable                  If
05_scope_archive_package.json                  2      Append_Error_Archive_Library_Unavailable             AppendToArrayVariable
05_scope_archive_package.json                  2      Set_varFatalCapture_Archive                          SetVariable
05_scope_archive_package.json                  1    Compose_Archive_Run_Folder_ServerRelativeUrl           Compose
05_scope_archive_package.json                  1    CREATE_Archive_Run_Folder                              OpenApiConnection
05_scope_archive_package.json                  1    Set_varArchiveFolderServerRelativeUrl                  SetVariable
05_scope_archive_package.json                  1    Set_varArchiveFolderWebUrl                             SetVariable
05_scope_archive_package.json                  1    Condition_Archive_Folder_Unavailable                   If
05_scope_archive_package.json                  2      Append_Error_Archive_Folder                          AppendToArrayVariable
05_scope_archive_package.json                  2      Set_varFatalCapture_Folder                           SetVariable
05_scope_archive_package.json                  1    Compose_File_Name_FULL_RAW_METADATA                    Compose
05_scope_archive_package.json                  1    CREATE_File_01_FULL_RAW_METADATA                       OpenApiConnection
05_scope_archive_package.json                  1    Compose_File_Name_NORMALIZED_METADATA_REGISTER         Compose
05_scope_archive_package.json                  1    CREATE_File_02_NORMALIZED_METADATA_REGISTER            OpenApiConnection
05_scope_archive_package.json                  1    Compose_File_Name_METADATA_QUALITY_FINDINGS            Compose
05_scope_archive_package.json                  1    CREATE_File_03_METADATA_QUALITY_FINDINGS               OpenApiConnection
05_scope_archive_package.json                  1    Compose_File_Name_CAPTURE_ERROR_LOG                    Compose
05_scope_archive_package.json                  1    CREATE_File_04_CAPTURE_ERROR_LOG                       OpenApiConnection
05_scope_archive_package.json                  1    Compose_File_Name_CAPTURE_WARNING_LOG                  Compose
05_scope_archive_package.json                  1    CREATE_File_05_CAPTURE_WARNING_LOG                     OpenApiConnection
05_scope_archive_package.json                  1    Compose_File_Name_HUMAN_REVIEW_REGISTER                Compose
05_scope_archive_package.json                  1    CREATE_File_06_HUMAN_REVIEW_REGISTER                   OpenApiConnection
05_scope_archive_package.json                  1    Compose_File_Name_ARCHITECTURE_REVIEW_REPORT           Compose
05_scope_archive_package.json                  1    CREATE_File_07_ARCHITECTURE_REVIEW_REPORT              OpenApiConnection
05_scope_archive_package.json                  1    Compose_Human_Review_Register_Json                     Compose
05_scope_archive_package.json                  1    Compose_File_Name_HUMAN_REVIEW_REGISTER_JSON           Compose
05_scope_archive_package.json                  1    CREATE_File_08_HUMAN_REVIEW_REGISTER_JSON              OpenApiConnection
05_scope_archive_package.json                  1    Compose_Run_Manifest                                   Compose
05_scope_archive_package.json                  1    Compose_File_Name_RUN_MANIFEST                         Compose
05_scope_archive_package.json                  1    CREATE_File_09_RUN_MANIFEST                            OpenApiConnection
05_scope_archive_package.json                  1    Set_varArchivedFiles                                   SetVariable
06_scope_review_register_upsert.json           0  Scope_SAVE_06_Review_Register_Upsert                     Scope
06_scope_review_register_upsert.json           1    GET_Review_Register_List                               OpenApiConnection
06_scope_review_register_upsert.json           1    Condition_Provision_Review_Register                    If
06_scope_review_register_upsert.json           2      CREATE_Review_Register_List                          OpenApiConnection
06_scope_review_register_upsert.json           1    Compose_Review_Register_Field_Plan_Ensure              Compose
06_scope_review_register_upsert.json           1    Apply_to_each_Review_Register_Field                    Foreach
06_scope_review_register_upsert.json           2      CREATE_Review_Register_Field                         OpenApiConnection
06_scope_review_register_upsert.json           2      ADD_Field_To_Default_View                            OpenApiConnection
06_scope_review_register_upsert.json           1    INDEX_ObjectId_Field                                   OpenApiConnection
06_scope_review_register_upsert.json           1    Apply_to_each_Object_For_Review_Register               Foreach
06_scope_review_register_upsert.json           2      GET_Existing_Review_Register_Item                    OpenApiConnection
06_scope_review_register_upsert.json           2      Compose_Existing_Review_Item_Id                      Compose
06_scope_review_register_upsert.json           2      Compose_Review_Register_Item_Body                    Compose
06_scope_review_register_upsert.json           2      Condition_Upsert_Review_Register_Item                If
06_scope_review_register_upsert.json           3        PATCH_Review_Register_Item                         OpenApiConnection
06_scope_review_register_upsert.json           3        POST_Review_Register_Item                          OpenApiConnection
06_scope_review_register_upsert.json           2      Condition_Log_Review_Register_Upsert_Error           If
06_scope_review_register_upsert.json           3        Append_Error_Review_Register_Upsert                AppendToArrayVariable
07_scope_delivery.json                         0  Scope_DELIVER_07_Notification                            Scope
07_scope_delivery.json                         1    Filter_Findings_High_For_Email                         Query
07_scope_delivery.json                         1    Select_Email_Finding_Rows                              Select
07_scope_delivery.json                         1    Compose_Email_Body_Html                                Compose
07_scope_delivery.json                         1    Compose_Email_Attachments                              Compose
07_scope_delivery.json                         1    Send_Metadata_Inventory_Notification                   OpenApiConnection
07_scope_delivery.json                         1    Set_varDeliveryStatus                                  SetVariable
07_scope_delivery.json                         1    Condition_Log_Delivery_Failure                         If
07_scope_delivery.json                         2      Append_Error_Delivery                                AppendToArrayVariable
